,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
tempo,113.79129411764706,120.98168965517245,129.4923043478261,113.11117241379313,115.70964864864864,110.55288888888887,115.60708620689654,117.28254545454546,119.48284090909088,118.41224242424242,111.3589642857143,119.7259898989899,113.82218999999999,126.27843478260871,127.08492000000003,113.18536904761902,116.66087499999999,115.13707000000001,120.22445999999998,122.91436,117.31809,119.6343650793651,105.78402380952379,122.68574999999998,109.816,112.9675,127.52050704225356,123.18389999999998,115.95884615384614,125.10377272727273,116.17096000000001,119.02356565656567,123.90828888888888,113.7565,121.67909677419355,123.51242857142857,111.06495959595962,116.18318666666666
pop rap,0.058823529411764705,0.6206896551724138,0.8260869565217391,0.5862068965517241,0.6756756756756757,0.0,0.8275862068965517,0.5909090909090909,0.13636363636363635,0.37373737373737376,0.8571428571428571,0.3838383838383838,0.69,0.6521739130434783,0.72,0.5714285714285714,0.4625,0.44,0.72,0.57,0.01,0.015873015873015872,0.0,0.34,0.0,0.0,0.6197183098591549,0.77,0.46153846153846156,0.4696969696969697,0.19,0.050505050505050504,0.4888888888888889,0.359375,0.7741935483870968,0.8571428571428571,0.2828282828282828,0.48
rap,0.058823529411764705,0.7241379310344828,0.6521739130434783,0.3448275862068966,0.24324324324324326,0.0,0.6206896551724138,0.3787878787878788,0.22727272727272727,0.15151515151515152,0.5,0.13131313131313133,0.71,0.2608695652173913,0.9,0.23809523809523808,0.3375,0.32,0.56,0.4,0.04,0.015873015873015872,0.0,0.12,0.0,0.0,0.7464788732394366,0.87,0.3076923076923077,0.6060606060606061,0.03,0.0707070707070707,0.3333333333333333,0.3125,0.45161290322580644,0.7142857142857143,0.1919191919191919,0.37333333333333335
desi pop,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filmi,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modern bollywood,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sufi,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neo mellow,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.06060606060606061,0.02,0.043478260869565216,0.0,0.05952380952380952,0.0375,0.07,0.02,0.02,0.0,0.0,0.023809523809523808,0.07,0.0,0.0,0.0,0.01,0.05128205128205128,0.045454545454545456,0.13,0.020202020202020204,0.044444444444444446,0.015625,0.0,0.0,0.030303030303030304,0.0
neo soul,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.01,0.043478260869565216,0.0,0.0,0.0125,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.09,0.0,0.0,0.015625,0.0,0.0,0.030303030303030304,0.013333333333333334
pop,0.058823529411764705,0.034482758620689655,0.391304347826087,0.4827586206896552,0.40540540540540543,0.0,0.017241379310344827,0.6818181818181818,0.045454545454545456,0.3838383838383838,0.17857142857142858,0.7171717171717171,0.2,0.391304347826087,0.11,0.4642857142857143,0.4125,0.46,0.28,0.41,0.17,0.047619047619047616,0.0,0.64,0.0,0.0,0.15492957746478872,0.15,0.3076923076923077,0.4393939393939394,0.5,0.20202020202020202,0.6,0.578125,0.5161290322580645,0.2857142857142857,0.6262626262626263,0.5733333333333334
