,Unnamed: 0,id,name,popularity,artist_name,explicit,release date,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,hollywood,show tunes,post-teen pop,broadway,vocal jazz,alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap,atl hip hop,dance pop,pop,pop rap,r&b,urban contemporary,deep talent show,movie tunes,philly rap,southern hip hop,australian dance,australian pop,deep underground hip hop,indie pop rap,trap,underground hip hop
10,10,3dP0pLbg9OfVwssDjp9aT0,Satisfied,69,Ren̩e Elise Goldsberry,False,2015-09-25,0.706,0.593,-8.581,0,0.0902,0.287,0.0,0.15,0.48100000000000004,123.774,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0Iys022UwQ8xBfxE1g4nWZ,One Last Time,63,Christopher Jackson,False,2015-09-25,0.535,0.42100000000000004,-9.624,1,0.268,0.633,0.0,0.0805,0.39799999999999996,132.04399999999998,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,40LYL1Z6xgCn5cBybo5K0D,It's Quiet Uptown,63,Ren̩e Elise Goldsberry,False,2015-09-25,0.519,0.187,-14.075999999999999,1,0.0421,0.7959999999999999,0.0,0.0785,0.226,129.442,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,7EsSVPxaYoAZjQwhspJBs2,"Who Lives, Who Dies, Who Tells Your Story",63,Original Broadway Cast of Hamilton,False,2015-09-25,0.354,0.326,-9.68,1,0.0901,0.779,0.0,0.0904,0.156,75.498,"['broadway', 'hollywood', 'show tunes']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0NJWhm3hUwIZSy5s0TGJ8q,The Story of Tonight,66,Lin-Manuel Miranda,False,2015-09-25,0.40700000000000003,0.237,-10.579,1,0.053,0.835,0.0,0.648,0.612,95.111,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,6oF8ueLn5hIl4PRp17sxW6,That Would Be Enough,64,Phillipa Soo,False,2015-09-25,0.473,0.2,-10.276,1,0.0357,0.818,0.0,0.115,0.18600000000000003,137.189,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,2sEq2rC3ynYsT49x7utWnd,Dear Theodosia,66,Leslie Odom Jr.,False,2015-09-25,0.601,0.222,-10.485,1,0.0303,0.9059999999999999,4.11e-05,0.0723,0.271,106.75399999999999,"['broadway', 'show tunes', 'vocal jazz']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,2TK2KSrzXD6W01qjXVjNGh,The Room Where It Happens,65,Leslie Odom Jr.,False,2015-09-25,0.638,0.49,-9.382,0,0.42700000000000005,0.27,0.0,0.657,0.511,173.55200000000002,"['broadway', 'show tunes', 'vocal jazz']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,6lsFGDo1IEEPFKh94c9kFe,Blow Us All Away,60,Anthony Ramos,True,2015-09-25,0.821,0.451,-10.177999999999999,1,0.42700000000000005,0.38799999999999996,0.0,0.563,0.675,88.54299999999999,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,0LpHC9mhPAQC98IjXZIrif,The Election of 1800,61,Daveed Diggs,True,2015-09-25,0.731,0.42,-10.199,1,0.46299999999999997,0.319,0.0,0.306,0.645,67.41,['alternative hip hop'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
